RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1149,15616529,Hsieh,613,Spain,Male,34,3,0.0,1,1,1,41724.72,0
1365,15719958,Degtyarev,850,Germany,Male,39,3,124548.99,2,1,1,120380.12,0
9619,15693131,Watts,581,France,Female,24,3,95508.2,1,1,1,45755.0,0
541,15667896,De Luca,833,France,Male,37,8,151226.18,2,1,1,136129.49,0
9353,15610090,Han,667,France,Male,40,8,72945.29,2,1,0,98931.5,0
9929,15686219,Wan,611,France,Male,38,4,71018.6,2,1,0,2444.29,0
8204,15588566,Wilkinson,778,Spain,Male,33,5,116474.28,2,1,1,32757.55,0
847,15608968,Averyanov,714,Germany,Male,21,6,86402.52,2,0,0,27330.59,0
5531,15736043,Hamilton,638,France,Male,34,6,114543.27,1,1,1,97755.29,0
5875,15693902,Hunt,597,France,Male,19,2,0.0,2,1,1,91036.74,0
8537,15676576,Stephenson,646,France,Female,43,8,143061.88,1,1,0,61937.6,0
2302,15757577,Odili,676,France,Female,61,8,0.0,2,1,1,118522.73,0
2886,15716024,Dennis,660,Spain,Male,42,5,0.0,2,1,0,115509.59,0
5691,15676707,Sidorov,577,Spain,Female,39,4,0.0,2,1,0,91366.42,0
6044,15760851,Gratton,629,France,Male,31,6,0.0,2,1,0,93881.75,0
2372,15604345,Kemp,730,France,Female,22,9,65763.57,1,1,1,145792.01,0
3635,15674442,Kung,681,France,Male,23,7,157761.56,1,0,0,147759.84,0
2738,15644724,Fan,472,France,Male,31,4,58662.92,2,0,1,73322.0,0
5524,15625586,Monaldo,717,France,Male,35,4,0.0,1,1,1,167573.06,0
7919,15572706,Smith,589,France,Male,37,5,0.0,1,1,0,61324.87,0
9765,15569526,Morales,601,France,Male,40,10,98627.13,2,0,0,77977.69,0
8722,15689671,Packham,775,Spain,Male,27,4,0.0,1,1,1,40807.26,0
8002,15798053,Nnachetam,707,Spain,Male,32,9,0.0,2,1,0,126475.79,0
3961,15616811,MacDonald,535,France,Male,47,0,160729.1,1,0,1,145986.35,0
9209,15744717,Duffy,726,France,Female,44,2,0.0,2,1,1,26733.86,0
7584,15643574,Odinakachukwu,682,France,Male,26,8,0.0,2,1,0,178373.43,0
3587,15652626,Grave,826,France,Male,55,4,115285.85,1,1,0,140126.17,0
9652,15580493,Chin,469,France,Male,33,1,127818.52,1,1,0,163477.22,0
6305,15653455,Smith,648,France,Female,38,2,0.0,2,0,1,9551.49,0
3192,15760570,Stephenson,590,France,Male,32,5,0.0,2,1,0,59249.83,0
7289,15672637,Voronkov,571,France,Female,30,4,85755.86,1,1,0,145115.95,0
1509,15701200,Lucciano,576,France,Male,36,6,0.0,2,1,1,48314.0,0
8480,15807568,Wright,632,France,Male,50,2,0.0,2,0,0,57942.88,0
1262,15794870,Sal,744,Germany,Male,38,6,73023.17,2,1,0,78770.86,0
6446,15719170,Sagese,679,France,Female,30,1,112543.42,1,1,1,179435.21,0
3629,15573319,Azubuike,493,Germany,Female,35,8,178317.6,1,0,0,197428.64,0
2122,15583576,Tai,671,France,Male,30,2,0.0,1,0,1,102057.86,0
9257,15758451,Azuka,765,Germany,Male,37,7,102708.77,1,1,0,9087.81,0
4111,15801630,Yen,558,France,Male,40,6,0.0,2,1,0,173844.89,0
6521,15694143,Conti,686,France,Female,41,10,0.0,1,1,0,133086.45,0
5404,15733169,Craig,590,Spain,Male,22,7,125265.61,1,1,1,161253.08,0
8779,15761606,Law,617,Spain,Female,37,9,101707.8,1,1,0,123866.28,0
6621,15751297,Wilson,732,France,Male,36,5,0.0,2,1,0,161428.25,0
8723,15718667,T'ien,621,France,Male,35,7,87619.29,1,1,0,143.34,0
4233,15632977,Hsiao,745,France,Male,47,5,0.0,2,0,0,145789.71,0
5167,15694644,Wood,455,Spain,Female,43,6,0.0,1,1,1,81250.79,0
9657,15603221,Burgess,696,Germany,Male,32,4,84421.62,1,0,1,52314.71,0
8922,15629519,Yen,472,France,Female,37,1,0.0,2,1,1,48357.9,0
5002,15649354,Johnston,754,Spain,Male,35,4,0.0,2,1,1,9658.41,0
3299,15670587,Yang,558,Germany,Male,25,10,111363.1,2,1,0,197264.35,0
6133,15691874,Kazakova,687,France,Female,34,9,125474.44,1,1,0,198929.84,0
8994,15809265,Kao,547,France,Female,35,4,0.0,1,1,1,133287.73,0
8137,15757425,Fleming,716,France,Female,38,1,0.0,2,1,1,99661.46,0
8925,15808566,Hs?,516,France,Male,46,2,0.0,2,1,1,169122.54,0
5637,15626679,Linger,584,France,Male,33,3,0.0,2,0,1,59103.13,0
3392,15780411,Norris,570,France,Female,46,3,0.0,2,0,0,820.46,0
2015,15679024,Udinesi,553,France,Male,32,3,116324.53,1,1,0,77304.49,0
2102,15778934,Napolitani,678,Spain,Female,49,8,0.0,2,0,1,98090.69,0
3667,15725068,Quinn,701,Spain,Female,21,9,0.0,2,1,1,26327.42,0
3262,15768293,Sun,614,France,Male,51,3,0.0,2,1,1,5552.37,0
638,15583725,Mairinger,682,France,Male,48,1,138778.15,1,0,1,168840.23,0
700,15736534,Elkins,742,Germany,Male,33,0,181656.51,1,1,1,107667.91,0
440,15690134,Hughes,464,Germany,Female,42,3,85679.25,1,1,1,164104.74,0
4636,15761024,Long,619,France,Female,33,2,167733.51,2,1,1,65222.48,0
8981,15786433,Aitken,650,Germany,Female,35,3,165982.43,2,1,1,24482.16,0
8609,15649060,Chien,727,Germany,Female,31,3,82729.47,2,1,0,60212.51,0
6593,15645904,Parsons,685,France,Female,33,6,0.0,2,0,1,186785.01,0
1292,15679611,Andrews,734,Spain,Female,37,2,130404.92,1,0,0,34548.74,0
2937,15671766,Enyinnaya,599,France,Male,44,10,118577.24,1,1,1,31448.52,0
7098,15664793,Scott,754,Spain,Female,50,7,146777.44,2,0,1,150685.52,0
9285,15705544,Ma,633,France,Male,61,3,157201.48,1,0,1,50368.63,0
5345,15566269,Chialuka,787,France,Male,25,5,0.0,2,1,0,47307.9,0
3542,15637169,Maclean,838,Spain,Female,67,4,103267.8,1,1,1,78310.04,0
493,15624170,Tan,639,France,Female,38,4,81550.94,2,0,1,118974.77,0
9964,15814664,Scott,740,Germany,Male,33,2,126524.11,1,1,0,136869.31,0
5568,15787222,Ch'in,676,Germany,Male,28,1,69459.05,2,1,1,128461.29,0
4905,15678720,Evans,741,France,Female,44,7,0.0,2,1,1,190534.76,0
5447,15785547,Slye,665,France,Male,28,8,191402.82,2,1,0,83238.4,0
6240,15682369,Pisano,613,France,Male,47,6,146034.74,1,1,1,77146.14,0
613,15619857,Crawford,605,France,Female,64,2,129555.7,1,1,1,13601.79,0
7578,15581700,Paterson,615,Germany,Male,43,3,86920.86,1,1,1,150048.37,0
1704,15750466,Rhodes,790,Germany,Male,42,1,85839.62,1,1,0,198182.73,0
8407,15578747,Chineze,701,Spain,Male,26,5,83600.24,1,0,1,59195.05,0
3232,15587177,Lloyd,646,France,Male,36,6,124445.52,1,1,0,88481.32,0
789,15600739,Galkin,562,Spain,Female,35,0,0.0,2,1,0,119899.52,0
673,15721024,Wickens,642,France,Male,26,0,0.0,1,0,0,47472.68,0
7105,15590434,Alexander,577,Spain,Male,41,4,89015.61,1,0,1,135227.23,0
305,15812191,Brennan,553,France,Male,33,4,118082.89,1,0,0,94440.45,0
3197,15675791,Williams,610,France,Male,36,4,129440.3,2,1,0,102638.35,0
7947,15790448,Calabresi,473,France,Female,35,6,69617.36,1,1,0,143345.69,0
3278,15749381,Yu,790,France,Female,41,2,126619.27,1,1,0,198224.38,0
3331,15657439,Chao,738,France,Male,18,4,0.0,2,1,1,47799.15,0
6573,15574237,Hsueh,588,France,Female,21,8,0.0,2,1,1,110114.19,0
3715,15815428,Biryukova,823,France,Male,34,3,105057.33,1,1,0,9217.92,0
1225,15628298,Johnstone,500,Spain,Female,47,8,128486.11,1,1,0,179227.12,0
420,15615624,De Salis,605,France,Female,28,6,0.0,2,0,0,159508.52,0
573,15622003,Carslaw,745,France,Male,35,9,92566.53,2,1,0,161519.77,0
5473,15804201,Jones,457,Germany,Male,42,4,126772.57,1,0,1,126106.4,0
2438,15768387,Nott,581,France,Male,41,8,0.0,2,0,0,29737.14,0
5670,15706706,Chinwendu,648,Germany,Male,33,7,135310.41,2,0,1,171668.2,0
3352,15792729,Holland,474,Germany,Female,34,9,176311.36,1,1,0,160213.27,0
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
8277,15775131,Bartlett,580,Spain,Male,32,9,142188.2,2,0,1,128028.6,0
8850,15721433,Hixson,664,France,Female,38,4,74306.19,2,1,0,154395.56,0
2364,15644005,Holman,571,France,Female,33,9,0.0,2,0,1,77519.62,0
7700,15622289,Rizzo,605,Spain,Female,36,9,0.0,2,0,1,35521.63,0
2545,15709487,Freeman,668,Germany,Male,34,5,80242.37,2,0,0,56780.97,0
4892,15676958,Zito,765,Germany,Male,34,5,86055.17,2,1,1,104220.5,0
5860,15652914,Ibrahimov,721,Spain,Male,38,7,0.0,1,0,1,53534.8,0
6202,15753079,Chidi,612,France,Male,41,5,0.0,3,0,0,151256.22,0
9344,15798749,Davidson,845,Germany,Female,43,3,152063.59,2,1,0,97910.06,0
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0
5460,15617507,Wilson,530,Spain,Female,36,7,0.0,2,1,0,80619.09,0
6364,15593454,Lambert,678,Spain,Female,40,4,113794.22,1,1,0,16618.76,0
8833,15765345,Wood,753,France,Male,35,4,0.0,2,1,1,106303.4,0
3348,15694510,Ifeanyichukwu,725,France,Male,45,1,129855.32,1,0,0,24218.65,0
401,15690452,Tung,605,France,Male,52,1,63349.75,1,1,0,108887.44,0
1243,15813132,Chukwukadibia,696,Germany,Male,30,4,114027.7,1,1,1,193716.56,0
1804,15707078,Kruglov,577,France,Female,26,1,180530.51,1,0,0,123454.62,0
2825,15667938,Hurst,628,France,Male,32,9,149136.31,2,1,1,16402.11,0
6620,15586517,Toscano,647,France,Male,32,5,97041.16,1,1,1,23132.73,0
8945,15752312,Howells,551,Spain,Male,49,1,150777.72,2,1,1,135757.27,0
5373,15688973,Vinogradova,598,Spain,Female,39,5,0.0,2,1,1,83103.46,0
4610,15794895,McKay,581,Spain,Male,34,1,0.0,2,0,1,81175.25,0
5993,15682955,Capon,758,France,Female,32,2,84378.9,1,1,1,75396.43,0
4163,15673584,Bell,652,France,Female,74,5,0.0,2,1,1,937.15,0
2893,15701291,Chidubem,601,France,Male,44,3,0.0,2,1,0,30607.11,0
1793,15746451,Barry,686,Spain,Male,41,7,102749.72,1,0,1,194913.86,0
3384,15665766,T'ang,698,Germany,Male,39,9,133191.19,2,0,1,53289.49,0
8999,15692577,Tomlinson,674,Germany,Female,38,10,83727.68,1,1,0,45418.12,0
2680,15725698,Panicucci,520,Spain,Female,35,4,115680.81,1,1,1,90280.7,0
7907,15712960,Olisanugo,613,Spain,Male,37,3,171653.17,1,0,1,5353.12,0
5156,15656426,Tyler,713,France,Female,42,3,0.0,2,0,0,82565.01,0
6212,15793116,Beneventi,502,Germany,Female,40,7,117304.29,1,0,0,196278.32,0
896,15697000,Mello,728,Germany,Male,32,5,61825.5,1,1,1,156124.93,0
5939,15679668,Yao,850,Spain,Male,38,7,115378.94,1,0,1,162087.82,0
4771,15761506,Russell,615,Spain,Male,19,5,0.0,2,1,0,159920.92,0
1454,15714227,Kelly,672,France,Female,53,7,0.0,1,1,1,136910.18,0
3972,15790809,Lo Duca,685,Spain,Male,40,7,74896.92,1,1,0,198694.2,0
3795,15621409,Endrizzi,496,France,Male,32,4,127845.83,1,1,0,66469.2,0
6308,15598510,Colombo,583,Germany,Male,27,4,105907.42,2,1,1,195732.04,0
9643,15579820,Robertson,704,Spain,Male,38,6,106687.76,1,1,0,173776.5,0
9348,15802809,Vidal,660,Spain,Female,36,0,84438.57,1,1,1,181449.51,0
8194,15671165,Esomchi,592,France,Female,66,5,149950.19,1,1,1,76267.59,0
4068,15767391,Otutodilinna,565,Germany,Female,32,4,90322.99,2,0,1,118740.37,0
4795,15575498,Gould,705,France,Female,39,5,149379.66,2,1,0,96075.55,0
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
3135,15660541,Olisanugo,694,France,Male,34,5,127900.03,1,1,0,101737.8,0
7358,15570947,Bruny,615,Spain,Female,29,7,143330.56,2,1,1,126396.01,0
3516,15665340,Trevisano,584,Spain,Female,37,8,0.0,2,0,1,100835.19,0
6850,15775678,Uspensky,716,France,Female,44,1,0.0,1,1,1,152108.47,0
1295,15584363,Longstaff,824,France,Male,30,0,133634.02,1,1,1,162053.92,0
1258,15647402,Wan,628,France,Female,38,3,0.0,2,1,1,48924.73,0
6371,15798200,Manna,707,France,Male,35,2,0.0,3,1,1,94148.3,0
1892,15574783,Perkins,584,France,Female,37,1,0.0,2,1,1,180363.56,0
1674,15780835,Liang,652,Germany,Female,26,1,131908.35,1,1,1,179269.79,0
5672,15805104,Smith,743,France,Female,73,6,0.0,2,0,1,107867.38,0
3990,15714256,Gerasimov,666,France,Male,30,7,109805.3,1,0,1,163625.56,0
7302,15702149,Fomin,767,Germany,Female,33,1,144753.21,1,1,1,132480.75,0
1705,15739054,Y?,654,France,Female,29,4,96974.97,1,0,1,141404.07,0
4497,15626948,Butcher,701,France,Female,42,6,86167.82,1,1,0,153342.38,0
1323,15598846,Shahan,700,France,Female,44,2,58781.76,1,1,0,16874.92,0
3451,15661936,Chikelu,513,France,Male,40,3,141004.46,1,1,0,105028.46,0
5553,15651315,Dilke,627,France,Male,41,3,0.0,2,1,0,132719.8,0
6336,15740428,Wyatt,507,France,Female,35,1,0.0,2,0,0,92131.54,0
9710,15682839,Genovesi,575,France,Female,57,8,137936.94,1,1,1,84475.13,0
9362,15641773,Browne,580,Germany,Male,45,2,179334.83,2,1,1,169303.65,0
1746,15772995,Ts'ao,529,France,Male,30,2,116295.29,1,1,0,75285.47,0
9148,15781326,Ford,636,France,Male,35,9,95478.17,1,0,0,169286.74,0
1495,15808189,Woodard,449,France,Male,52,6,0.0,2,0,1,123622.0,0
2511,15607993,Milne,625,France,Female,52,2,79468.96,1,1,1,84606.03,0
1079,15633650,Woods,677,Germany,Female,41,8,146720.98,2,1,1,4195.84,0
3104,15766609,Jowers,655,France,Female,47,10,0.0,2,1,0,167778.62,0
9809,15581115,Middleton,603,France,Female,39,9,76769.68,1,0,0,48224.72,0
6855,15754574,Tomlinson,738,Spain,Male,36,5,0.0,2,1,1,96881.32,0
6323,15684294,Chidumaga,735,France,Male,50,2,0.0,2,0,1,147075.69,0
2622,15760102,Yeh,551,France,Female,36,5,0.0,1,1,0,183479.12,0
5757,15706217,Kao,645,Germany,Male,28,7,117466.03,2,1,1,34490.06,0
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
8305,15792868,Mickey,675,France,Male,69,1,0.0,2,1,0,157097.09,0
6686,15606861,Tien,636,France,Male,34,8,0.0,2,1,0,38570.13,0
6131,15651144,Yao,632,Germany,Female,35,2,150561.03,2,0,0,64722.61,0
3005,15706185,Clements,596,Germany,Male,47,5,140187.1,2,1,1,174311.3,0
2323,15709928,Niu,567,Spain,Female,41,1,0.0,2,1,0,3414.72,0
1968,15598088,Ni,559,Spain,Male,25,5,0.0,2,1,1,163221.22,0
6258,15617301,Chamberlin,774,Germany,Male,36,9,130809.77,1,1,0,152290.28,0
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
8323,15584899,Siciliani,617,France,Female,35,5,0.0,2,0,1,13066.3,0
4240,15756481,Garcia,636,France,Female,39,3,118336.14,1,1,0,184691.77,0
600,15714939,Fallaci,484,Germany,Female,34,4,148249.54,1,0,1,33738.27,0
5261,15731281,Ozuluonye,704,Germany,Female,35,3,154206.07,2,1,1,40261.49,0
286,15626144,Chu,675,France,Male,40,7,113208.86,2,1,0,34577.36,0
9824,15622658,Lai,551,France,Female,26,2,144258.52,1,1,0,49778.79,0
4283,15602994,Gorbunov,487,France,Female,53,10,89550.85,1,0,1,90076.85,0
648,15805112,Pokrovsky,578,France,Male,38,7,82259.29,1,1,0,8996.97,0
4308,15702499,Schnaars,770,Spain,Male,46,9,190678.02,1,1,1,14725.36,0
9654,15735799,Maconochie,527,Germany,Male,58,3,137318.42,1,1,1,126144.96,0
8547,15686957,Piccio,553,Germany,Male,35,2,158584.28,2,1,0,43640.16,0
592,15604044,Mitchell,700,France,Male,38,8,134811.3,1,1,0,1299.75,0
974,15779711,Gray,750,Spain,Female,38,7,97257.41,2,0,1,179883.04,0
2087,15578908,Todd,725,Spain,Female,32,0,0.0,2,1,1,138525.19,0
4969,15572158,Blackburn,604,Spain,Male,41,3,0.0,1,0,0,11819.84,0
5352,15679048,Koger,558,Germany,Male,41,2,124227.14,1,1,1,111184.67,0
9450,15615444,Y?an,663,Germany,Male,28,8,123674.28,2,1,1,87985.2,0
8889,15637788,Schmidt,743,France,Male,23,3,110203.77,1,1,0,95583.45,0
3129,15794253,Marsh,832,Spain,Female,34,6,138190.13,2,0,1,146511.2,0
1427,15710206,Larson,591,France,Female,39,4,150500.64,1,1,0,14928.8,0
1271,15671322,Chiang,724,Germany,Male,30,7,115315.04,1,1,0,15216.53,0
9502,15634146,Hou,835,Germany,Male,18,2,142872.36,1,1,1,117632.63,0
7227,15614813,Cocci,777,Germany,Female,46,0,107362.8,1,1,0,487.3,0
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
4938,15625632,Philip,577,France,Male,36,3,121092.47,2,0,1,143783.46,0
6348,15754820,Bergamaschi,637,Germany,Male,35,8,147127.81,2,1,1,84760.7,0
7840,15606003,Abramowitz,566,France,Female,21,3,0.0,2,1,1,3626.47,0
7218,15720353,Chiang,553,France,Male,41,1,0.0,2,1,0,90607.31,0
335,15742668,Day,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0
5587,15699446,Hobbs,816,Germany,Female,25,2,150355.35,2,1,1,35770.84,0
7873,15717736,Shen,639,Germany,Female,46,10,110031.09,2,1,1,133995.59,0
6359,15730418,Lucchesi,652,France,Female,32,2,0.0,2,1,0,54628.11,0
8665,15666332,Donaldson,690,Spain,Female,48,2,0.0,2,1,1,3149.1,0
8054,15800524,Nnanna,686,Germany,Male,29,3,185379.02,1,1,0,64679.07,0
2502,15753370,McDonald,691,Germany,Female,38,5,114753.76,1,1,0,107665.02,0
8202,15614936,Mancini,718,Spain,Female,49,10,82321.88,1,0,1,11144.4,0
9414,15737732,Onwuemelie,751,France,Female,44,10,0.0,2,1,0,170634.49,0
320,15626114,Pearson,429,France,Male,24,4,95741.75,1,1,0,46170.75,0
6244,15748752,Ch'in,608,Germany,Male,33,1,102772.67,2,1,0,70705.58,0
8991,15729065,Mackay,784,Germany,Male,28,2,109960.06,2,1,1,170829.87,0
3133,15619407,Buckley,615,France,Male,39,4,133707.09,1,1,1,108152.75,0
8390,15715345,Sergeyeva,743,Spain,Male,25,6,0.0,2,1,0,129740.11,0
9872,15736371,Kennedy,633,France,Female,34,3,123034.43,2,1,1,38315.04,0
2469,15742210,Ugochukwu,700,France,Male,38,9,65962.63,1,1,1,100950.48,0
2668,15591577,Moran,584,France,Male,35,3,146311.58,1,1,1,105443.47,0
9612,15586522,Hunter,608,Spain,Male,37,2,130461.02,1,1,0,21967.15,0
402,15747795,Pai,593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0
3268,15624755,Pepper,707,Germany,Female,40,3,109628.44,1,1,0,189366.03,0
1579,15585047,Onyemere,715,France,Male,28,7,160376.61,1,0,0,196853.11,0
4569,15672875,Piccio,584,Germany,Male,32,8,40172.91,1,1,1,137439.34,0
6503,15590286,Fairley,611,France,Female,40,2,125879.29,1,1,0,93203.43,0
8941,15658148,Udokamma,657,France,Male,38,7,0.0,2,1,0,185827.74,0
5586,15656597,Wang,432,Germany,Male,38,2,135559.8,2,1,1,71856.3,0
9542,15669290,Fan,603,France,Male,38,8,59360.77,1,1,1,191457.06,0
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0
3199,15736397,Wang,544,France,Male,23,1,96471.2,1,1,0,35550.97,0
7274,15671582,John,660,Spain,Male,38,6,109869.32,1,1,1,154641.91,0
875,15674840,Chiazagomekpere,645,France,Female,38,5,101430.3,2,0,1,4400.32,0
2114,15686255,Mouzon,738,Germany,Male,35,6,101744.84,1,0,0,85185.44,0
685,15747867,Trevisani,583,France,Male,24,9,135125.28,1,0,0,89801.9,0
4411,15691871,Millar,503,Germany,Male,42,9,153279.39,1,1,1,151336.96,0
4875,15764537,Dominguez,703,France,Male,43,8,0.0,2,1,0,9704.66,0
8573,15611223,Ko,752,Germany,Female,38,10,101648.5,2,1,0,172001.44,0
4388,15665460,Isayeva,732,Spain,Female,67,1,0.0,2,1,1,177783.04,0
2268,15666823,Nebechi,425,France,Male,39,4,0.0,2,1,0,197226.32,0
7307,15807546,Chinwendu,837,France,Female,38,2,0.0,2,1,1,46395.21,0
726,15672692,Yin,787,France,Female,42,10,145988.65,2,1,1,79510.37,0
7815,15598338,Mays,647,Germany,Female,33,3,168560.46,2,0,0,90270.16,0
3195,15673539,Napolitani,690,France,Female,26,3,118097.87,1,1,0,61257.83,0
2890,15630402,Nebechukwu,594,France,Female,31,9,0.0,1,0,1,5719.11,0
9405,15792232,Moss,595,Spain,Female,43,5,0.0,2,0,0,105149.8,0
7021,15786237,Pickworth,651,France,Male,28,7,0.0,2,1,0,823.96,0
1230,15607598,Muravyov,575,Spain,Female,31,6,0.0,2,1,1,95686.42,0
2206,15812982,Francis,509,Spain,Male,38,2,0.0,1,0,0,168460.12,0
4419,15644356,Prokhorova,682,Spain,Female,47,10,134032.01,1,1,0,144290.97,0
2161,15586821,Bellew,727,France,Male,28,5,0.0,2,0,1,19653.08,0
2643,15581548,Kaodilinakachukwu,637,Spain,Female,22,5,98800.0,1,1,0,122865.55,0
8158,15798834,Yefremov,719,Spain,Female,32,7,0.0,1,0,0,76264.27,0
1551,15599552,Conway,639,Spain,Female,54,2,0.0,2,1,1,53843.71,0
9620,15779973,Gibbons,684,Germany,Male,35,3,99967.76,1,1,1,176882.08,0
3395,15668460,Bellucci,466,France,Male,29,6,0.0,2,1,1,2797.27,0
5160,15651103,Sal,762,Spain,Female,69,9,183744.98,1,1,1,196993.69,0
7954,15608209,Currey,622,Germany,Male,33,3,96926.12,2,1,0,48553.77,0
397,15584766,Knight,557,France,Male,33,3,54503.55,1,1,1,371.05,0
7926,15800482,Bradshaw,586,Spain,Female,33,7,0.0,2,1,1,168261.4,0
1781,15601008,Stevenson,802,France,Male,33,8,0.0,2,1,0,143706.18,0
3271,15629885,Wilson,850,France,Female,33,7,118004.26,1,1,0,183983.82,0
4175,15810593,Forbes,568,France,Male,51,4,0.0,3,1,1,66586.56,0
4386,15605375,Tseng,651,France,Male,35,2,86911.8,1,1,0,174094.24,0
5246,15588517,Sun,717,France,Male,38,7,0.0,2,1,1,158580.05,0
4157,15599452,Conti,605,Germany,Female,43,8,125338.8,2,1,0,23970.13,0
8534,15768566,K?,706,France,Male,34,8,0.0,2,1,1,37479.97,0
6313,15648136,Green,658,Germany,Female,28,9,152812.58,1,1,0,166682.57,0
8386,15649297,T'ang,605,France,Female,62,4,111065.93,2,0,1,125660.99,0
6136,15624611,Marsden,497,Spain,Male,37,8,128650.11,2,1,1,163641.53,0
7886,15632344,Jones,792,France,Female,42,0,99045.93,2,1,0,47160.01,0
6760,15660878,T'ien,705,France,Male,92,1,126076.24,2,1,1,34436.83,0
9455,15739248,Lin,727,France,Male,52,4,0.0,2,1,1,118429.02,0
936,15675316,Avdeeva,619,France,Female,38,3,0.0,2,0,1,116467.35,0
2847,15674950,Ebelechukwu,544,Germany,Male,39,4,142406.43,2,1,0,146637.45,0
6970,15687413,Sunderland,619,Spain,Female,38,6,0.0,2,1,1,117616.29,0
6384,15812040,Lorenzo,594,France,Male,36,6,153880.15,1,0,0,135431.72,0
8834,15760873,Lombardo,594,France,Male,50,7,81310.34,1,1,1,183868.01,0
1286,15658532,Nnamutaezinwa,520,Spain,Female,63,5,162278.32,1,1,1,34765.33,0
679,15810978,Pugliesi,788,Spain,Female,70,1,0.0,2,1,1,41610.62,0
2400,15672516,Wall,541,Germany,Male,51,7,90373.28,2,1,0,179861.79,0
5461,15668894,Abramova,661,Germany,Male,41,5,122552.48,2,0,1,120646.4,0
